0dc4a41c16dcee4c5a7e0e967b0ff1be f8257f10197ce8ba5a7e0e967b0ff1be || 0dc4a41c16dcee4c5a7e0e967b0ff1be f8257f10197ce8ba5a7e0e967b0ff1be || 1 1
3431bd46743d5c9a427742ae799b6128 e4a5564c371d2612427742ae799b6128 || 3431bd46743d5c9a427742ae799b6128 e4a5564c371d2612427742ae799b6128 || 1 1
20d02e950b88bd58759f956a68b236cc 20d02e950b88bd58759f956a68b236cc || 20d02e950b88bd58759f956a68b236cc 20d02e950b88bd58759f956a68b236cc || 1 1
2a53d8a61081918d94a0b3920bec1fe1 e74c9356a3c79a0294a0b3920bec1fe1 || 2a53d8a61081918d94a0b3920bec1fe1 e74c9356a3c79a0294a0b3920bec1fe1 || 1 1
624954f7d59de55fe8bb20611238a72f 235218c089685c4fe8bb20611238a72f || 624954f7d59de55fe8bb20611238a72f 235218c089685c4fe8bb20611238a72f || 1 1
130ffcece08a3c26e7eee9a08c5a23dc 130ffcece08a3c26e7eee9a08c5a23dc || 130ffcece08a3c26e7eee9a08c5a23dc 130ffcece08a3c26e7eee9a08c5a23dc || 1 1
04b0eea82199c0a9c8f3750573589da8 04b0eea82199c0a9c8f3750573589da8 || 04b0eea82199c0a9c8f3750573589da8 04b0eea82199c0a9c8f3750573589da8 || 1 1
300fdb8930fdb560dda42ebda6c382a2 e60664a489ead251dda42ebda6c382a2 || 300fdb8930fdb560dda42ebda6c382a2 e60664a489ead251dda42ebda6c382a2 || 1 1
4dbe851af9be2709174760c70f455a20 e8973de02f7823d9174760c70f455a20 || 4dbe851af9be2709174760c70f455a20 e8973de02f7823d9174760c70f455a20 || 1 1
ab93dd5df65a3e491130144edeed0e2e 039fbc224158e35a1130144edeed0e2e || ab93dd5df65a3e491130144edeed0e2e 039fbc224158e35a1130144edeed0e2e || 1 1
59a4ef090b1fce753fbee4a623daa378 fdbdac93d988ef933fbee4a623daa378 || 59a4ef090b1fce753fbee4a623daa378 fdbdac93d988ef933fbee4a623daa378 || 1 1
1a15201204a7d8659e041d4e57433480 fa9ed4e4ec776c459e041d4e57433480 || 1a15201204a7d8659e041d4e57433480 fa9ed4e4ec776c459e041d4e57433480 || 1 1
5121189b0d706679ece4eb58a2f1d3b2 da8c925ca100ec1bece4eb58a2f1d3b2 || 5121189b0d706679ece4eb58a2f1d3b2 da8c925ca100ec1bece4eb58a2f1d3b2 || 1 1
27b4642822ec508e70a71a89935f8d9b e1e4dc6fcb10b3d170a71a89935f8d9b || 27b4642822ec508e70a71a89935f8d9b e1e4dc6fcb10b3d170a71a89935f8d9b || 1 1
047c02383c947704e618e6023705a688 047c02383c947704e618e6023705a688 || 047c02383c947704e618e6023705a688 047c02383c947704e618e6023705a688 || 1 1
1feed9126f33e1de36625a847a82fbb0 e812e05957697c8e36625a847a82fbb0 || 1feed9126f33e1de36625a847a82fbb0 e812e05957697c8e36625a847a82fbb0 || 1 1
1534c578d8e36455e75475da50f43458 fbdca62bc7bee8cee75475da50f43458 || 1534c578d8e36455e75475da50f43458 fbdca62bc7bee8cee75475da50f43458 || 1 1
17db6c3fe8eeabbc7a126ad4d7b84d71 f2e36a9eca93b8e57a126ad4d7b84d71 || 17db6c3fe8eeabbc7a126ad4d7b84d71 f2e36a9eca93b8e57a126ad4d7b84d71 || 1 1
7161870177d519faba75b999e1e26740 179692052de7c7c0ba75b999e1e26740 || 7161870177d519faba75b999e1e26740 179692052de7c7c0ba75b999e1e26740 || 1 1
2049bf8e4fbed83edbcde4f7bc02aa66 f78ca852499c36a8dbcde4f7bc02aa66 || 2049bf8e4fbed83edbcde4f7bc02aa66 f78ca852499c36a8dbcde4f7bc02aa66 || 1 1
3fb717c1619dac0537ea0d4ce7d1872f c07838867b1444b237ea0d4ce7d1872f || 3fb717c1619dac0537ea0d4ce7d1872f c07838867b1444b237ea0d4ce7d1872f || 1 1
c98b4c3743d94bccf9e7de8aaa5ef67e 01ec44ed0a26a483f9e7de8aaa5ef67e || c98b4c3743d94bccf9e7de8aaa5ef67e 01ec44ed0a26a483f9e7de8aaa5ef67e || 1 1
367b0b1c4bc9177b60899ef1aae671ca caed11c2804fbaf560899ef1aae671ca || 367b0b1c4bc9177b60899ef1aae671ca caed11c2804fbaf560899ef1aae671ca || 1 1
4dd8189d2f0d877e1b379639fe151280 f9418334e3d74fbe1b379639fe151280 || 4dd8189d2f0d877e1b379639fe151280 f9418334e3d74fbe1b379639fe151280 || 1 1
11704d9d6040c7b9fcb161e822e3dae0 f33d0fb74f58b00bfcb161e822e3dae0 || 11704d9d6040c7b9fcb161e822e3dae0 f33d0fb74f58b00bfcb161e822e3dae0 || 1 1
252f067f4c2da665071a0cb6ba898e68 fc7eee7507d8805b071a0cb6ba898e68 || 252f067f4c2da665071a0cb6ba898e68 fc7eee7507d8805b071a0cb6ba898e68 || 1 1
12133ebaa5d3fdf4324e2aae26c4376c fae81f4fa7244458324e2aae26c4376c || 12133ebaa5d3fdf4324e2aae26c4376c fae81f4fa7244458324e2aae26c4376c || 1 1
343ab95d70072f6b08f4b93827973f30 cf0307b45bef913708f4b93827973f30 || 343ab95d70072f6b08f4b93827973f30 cf0307b45bef913708f4b93827973f30 || 1 1
0159dbbee659acd4c066e7aa87aa783c 0159dbbee659acd4c066e7aa87aa783c || 0159dbbee659acd4c066e7aa87aa783c 0159dbbee659acd4c066e7aa87aa783c || 1 1
6611b0122553dec8c606cffabb121130 ee00a52317892aacc606cffabb121130 || 6611b0122553dec8c606cffabb121130 ee00a52317892aacc606cffabb121130 || 1 1
0a333c886ae83e98f5eddaa6c1429598 f855a0b8b1bed829f5eddaa6c1429598 || 0a333c886ae83e98f5eddaa6c1429598 f855a0b8b1bed829f5eddaa6c1429598 || 1 1
77cce823aa1f9767847a021712cc01be 1911d68977c2bd44847a021712cc01be || 77cce823aa1f9767847a021712cc01be 1911d68977c2bd44847a021712cc01be || 1 1
5f7d2a140d5c0a6b7fd62871bdb518ba 26c9b15d6bc327927fd62871bdb518ba || 5f7d2a140d5c0a6b7fd62871bdb518ba 26c9b15d6bc327927fd62871bdb518ba || 1 1
4c77ba13abca6b0a39cbe38669ed7126 f825c77a515c2fe339cbe38669ed7126 || 4c77ba13abca6b0a39cbe38669ed7126 f825c77a515c2fe339cbe38669ed7126 || 1 1
